Ticker,Date,Price,Open,High,Low,Change %
VLAV,2023-06-29,9317.05,9221.0,9317.74,9221.0,1.04
VLAV,2023-06-30,9381.35,9317.05,9411.65,9317.05,0.69
VLAV,2023-07-13,9658.39,9586.04,9667.77,9586.04,0.75
VLAV,2023-07-14,9568.3,9658.39,9658.39,9535.88,-0.93
VLAV,2023-07-17,9605.39,9568.3,9628.33,9536.58,0.39
VLAV,2023-07-18,9693.96,9605.39,9705.2,9605.39,0.92
VLAV,2023-07-19,9747.96,9693.96,9761.52,9693.96,0.56
VLAV,2023-07-20,9698.53,9747.96,9747.96,9671.28,-0.51
VLAV,2023-07-21,9687.27,9698.53,9742.99,9681.91,-0.12
VLAV,2023-07-24,9711.16,9718.02,9736.75,9680.52,0.25
VLAV,2023-07-25,9721.94,9711.16,9752.91,9694.44,0.11
VLAV,2023-07-26,9763.59,9721.94,9781.94,9702.54,0.43
VLAV,2023-07-27,9658.06,9763.59,9814.27,9639.27,-1.08
VLAV,2023-07-28,9743.55,9658.06,9756.59,9658.06,0.89
VLAV,2023-07-31,9818.83,9743.55,9819.86,9743.55,0.77
VLAV,2023-08-14,9525.06,9532.09,9532.09,9458.55,-0.07
VLAV,2023-08-15,9392.97,9525.06,9525.06,9391.07,-1.39
VLAV,2023-08-16,9307.62,9392.97,9415.69,9307.62,-0.91
VLAV,2023-08-17,9222.83,9307.62,9343.57,9222.05,-0.91
VLAV,2023-08-18,9250.86,9222.83,9270.28,9153.28,0.3
VLAV,2023-08-21,9240.77,9250.86,9274.27,9191.43,-0.11
VLAV,2023-08-22,9207.8,9240.77,9270.04,9194.5,-0.36
VLAV,2023-08-23,9292.64,9207.8,9300.74,9205.17,0.92
VLAV,2023-08-24,9187.75,9292.64,9320.38,9187.36,-1.13
VLAV,2023-08-25,9227.98,9187.75,9262.98,9142.2,0.44
VLAV,2023-08-28,9303.18,9227.98,9331.93,9227.98,0.81
VLAV,2023-08-29,9429.99,9303.18,9430.03,9292.22,1.36
VLAV,2023-08-30,9463.42,9429.99,9487.28,9422.15,0.35
VLAV,2023-08-31,9442.99,9463.42,9500.04,9441.3,-0.22
VLAV,2023-09-13,9189.92,9236.21,9243.11,9167.97,-0.5
VLAV,2023-09-14,9313.73,9189.92,9318.18,9189.92,1.35
VLAV,2023-09-15,9231.37,9313.73,9313.73,9212.37,-0.88
VLAV,2023-09-18,9200.69,9231.37,9231.44,9191.72,-0.33
VLAV,2023-09-19,9178.46,9200.69,9221.9,9147.6,-0.24
VLAV,2023-09-20,9134.09,9178.46,9255.59,9134.05,-0.48
VLAV,2023-09-21,8985.69,9134.09,9134.09,8985.52,-1.62
VLAV,2023-09-22,8956.04,8985.69,9027.42,8955.17,-0.33
VLAV,2023-09-25,8978.15,8956.04,8992.35,8909.18,0.25
VLAV,2023-09-26,8845.25,8978.15,8978.15,8845.25,-1.48
VLAV,2023-09-27,8891.08,8845.25,8927.25,8827.31,0.52
VLAV,2023-09-28,8971.98,8891.08,9008.21,8891.02,0.91
VLAV,2023-09-29,8950.78,8971.98,9051.4,8933.51,-0.24
VLAV,2023-10-13,8714.58,8761.7,8794.39,8689.09,-0.54
VLAV,2023-10-16,8852.91,8714.58,8867.45,8714.58,1.59
VLAV,2023-10-17,8928.62,8852.91,8983.75,8800.77,0.86
VLAV,2023-10-18,8761.5,8928.62,8928.62,8756.31,-1.87
VLAV,2023-10-19,8647.87,8761.5,8794.35,8632.43,-1.3
VLAV,2023-10-20,8549.07,8647.87,8648.11,8546.5,-1.14
VLAV,2023-10-23,8476.38,8549.07,8581.43,8463.92,-0.85
VLAV,2023-10-24,8539.69,8476.38,8590.7,8476.38,0.75
VLAV,2023-10-25,8410.42,8539.69,8539.69,8404.92,-1.51
VLAV,2023-10-26,8409.66,8410.42,8473.92,8383.23,-0.01
VLAV,2023-10-27,8310.43,8409.66,8428.17,8297.29,-1.18
VLAV,2023-10-30,8368.24,8310.43,8395.51,8302.01,0.7
VLAV,2023-10-31,8430.76,8368.24,8439.94,8358.59,0.75
VLAV,2023-11-13,8670.27,8682.84,8699.65,8629.06,-0.14
VLAV,2023-11-14,9022.31,8670.27,9031.97,8670.27,4.06
VLAV,2023-11-15,9079.07,9022.31,9170.4,9022.31,0.63
VLAV,2023-11-16,8986.61,9079.07,9079.07,8956.74,-1.02
VLAV,2023-11-17,9073.44,8986.61,9073.92,8986.61,0.97
VLAV,2023-11-20,9119.12,9073.44,9130.36,9045.81,0.5
VLAV,2023-11-21,9053.22,9119.12,9119.12,9051.94,-0.72
VLAV,2023-11-22,9099.47,9053.22,9128.65,9053.22,0.51
VLAV,2023-11-23,9099.32,9099.47,9100.14,9099.3,0.0
VLAV,2023-11-24,9145.03,9099.32,9155.11,9095.88,0.5
VLAV,2023-11-27,9115.28,9145.03,9145.03,9076.03,-0.33
VLAV,2023-11-28,9099.01,9115.28,9145.87,9068.2,-0.18
VLAV,2023-11-29,9144.48,9099.01,9231.2,9099.01,0.5
VLAV,2023-11-30,9179.46,9144.48,9183.14,9123.84,0.38
VLAV,2023-12-13,9721.36,9464.95,9722.23,9427.0,2.71
VLAV,2023-12-14,9935.08,9721.36,9972.08,9721.36,2.2
VLAV,2023-12-15,9851.45,9935.08,9942.95,9822.86,-0.84
VLAV,2023-12-18,9851.45,9851.45,9890.34,9839.33,0.0
VLAV,2023-12-19,9996.63,9851.45,10003.15,9851.45,1.47
VLAV,2023-12-20,9818.21,9996.63,10036.14,9817.91,-1.78
VLAV,2023-12-21,9972.07,9818.21,9972.07,9818.21,1.57
VLAV,2023-12-22,10009.7,9972.07,10054.39,9972.07,0.38
VLAV,2023-12-25,10009.7,10009.7,10009.7,10009.7,0.0
VLAV,2023-12-26,10088.43,10009.7,10112.7,10009.7,0.79
VLAV,2023-12-27,10099.26,10088.43,10125.15,10075.86,0.11
VLAV,2023-12-28,10095.87,10099.26,10119.82,10076.38,-0.03
VLAV,2023-12-29,10018.16,10095.87,10095.87,10007.27,-0.77
VLAV,2024-01-15,9763.64,9762.14,9763.83,9761.71,0.02
VLAV,2024-01-16,9672.07,9763.64,9763.64,9643.63,-0.94
VLAV,2024-01-17,9581.99,9672.07,9672.07,9532.28,-0.93
VLAV,2024-01-18,9649.45,9582.22,9650.45,9555.98,0.7
VLAV,2024-01-19,9729.61,9649.45,9732.87,9615.33,0.83
VLAV,2024-01-22,9849.64,9729.61,9871.55,9729.61,1.23
VLAV,2024-01-23,9848.0,9849.64,9921.94,9817.03,-0.02
VLAV,2024-01-24,9781.38,9848.0,9931.73,9778.84,-0.68
VLAV,2024-01-25,9870.74,9781.38,9888.91,9781.38,0.91
VLAV,2024-01-26,9886.24,9870.74,9934.23,9870.74,0.16
VLAV,2024-01-29,9987.24,9886.24,9987.91,9854.93,1.02
VLAV,2024-01-30,9944.3,9987.24,9987.24,9921.98,-0.43
VLAV,2024-01-31,9767.96,9944.3,9968.23,9765.23,-1.77
VLAV,2024-02-13,9813.71,10100.05,10100.05,9753.23,-2.84
VLAV,2024-02-14,9971.43,9813.71,9977.52,9813.71,1.61
VLAV,2024-02-15,10127.49,9971.43,10133.79,9971.43,1.57
VLAV,2024-02-16,10050.5,10127.49,10130.99,10039.35,-0.76
VLAV,2024-02-19,10050.5,10050.5,10050.5,10050.5,0.0
VLAV,2024-02-20,9974.96,10050.5,10050.5,9953.54,-0.75
VLAV,2024-02-21,9962.17,9974.96,9974.96,9902.63,-0.13
VLAV,2024-02-22,10033.99,9962.17,10051.53,9962.17,0.72
VLAV,2024-02-23,10058.6,10033.99,10092.87,10018.05,0.25
VLAV,2024-02-26,10053.28,10053.28,10053.28,10053.28,-0.05
VLAV,2024-02-27,10126.96,10053.28,10132.1,10053.28,0.73
VLAV,2024-02-28,10095.23,10126.96,10141.04,10073.36,-0.31
VLAV,2024-02-29,10155.16,10095.23,10200.81,10095.23,0.59
VLAV,2024-03-13,10281.66,10264.71,10324.0,10264.71,0.17
VLAV,2024-03-14,10143.75,10281.66,10281.66,10086.8,-1.34
VLAV,2024-03-15,10149.17,10143.75,10176.65,10107.05,0.05
VLAV,2024-03-18,10135.1,10167.42,10180.4,10126.97,-0.14
VLAV,2024-03-19,10193.01,10135.1,10199.59,10111.35,0.57
VLAV,2024-03-20,10334.33,10193.01,10356.52,10174.74,1.39
VLAV,2024-03-21,10416.67,10334.33,10444.27,10334.33,0.8
VLAV,2024-03-22,10328.63,10416.67,10423.34,10327.36,-0.85
VLAV,2024-03-25,10318.38,10328.63,10377.38,10318.38,-0.1
VLAV,2024-03-26,10308.95,10318.38,10375.78,10308.95,-0.09
VLAV,2024-03-27,10496.43,10308.95,10497.91,10308.95,1.82
VLAV,2024-03-28,10551.11,10496.43,10577.97,10496.43,0.52
VLAV,2024-03-29,10551.11,10551.11,10551.11,10551.11,0.0
VLAV,2024-04-15,9931.82,10044.63,10133.12,9903.16,-1.12
VLAV,2024-04-16,9880.26,9931.82,9931.82,9829.35,-0.52
VLAV,2024-04-17,9826.58,9880.26,9947.22,9819.5,-0.54
