Ticker,Date,Price,Open,High,Low,Change %
VLAV,2023-08-28,"9,303.18","9,227.98","9,331.93","9,227.98",0.81%
VLAV,2023-08-29,"9,429.99","9,303.18","9,430.03","9,292.22",1.36%
VLAV,2023-08-30,"9,463.42","9,429.99","9,487.28","9,422.15",0.35%
VLAV,2023-08-31,"9,442.99","9,463.42","9,500.04","9,441.30",-0.22%
VLAV,2023-09-13,"9,189.92","9,236.21","9,243.11","9,167.97",-0.50%
VLAV,2023-09-14,"9,313.73","9,189.92","9,318.18","9,189.92",1.35%
VLAV,2023-09-15,"9,231.37","9,313.73","9,313.73","9,212.37",-0.88%
VLAV,2023-09-18,"9,200.69","9,231.37","9,231.44","9,191.72",-0.33%
VLAV,2023-09-19,"9,178.46","9,200.69","9,221.90","9,147.60",-0.24%
VLAV,2023-09-20,"9,134.09","9,178.46","9,255.59","9,134.05",-0.48%
VLAV,2023-09-21,"8,985.69","9,134.09","9,134.09","8,985.52",-1.62%
VLAV,2023-09-22,"8,956.04","8,985.69","9,027.42","8,955.17",-0.33%
VLAV,2023-09-25,"8,978.15","8,956.04","8,992.35","8,909.18",0.25%
VLAV,2023-09-26,"8,845.25","8,978.15","8,978.15","8,845.25",-1.48%
VLAV,2023-09-27,"8,891.08","8,845.25","8,927.25","8,827.31",0.52%
VLAV,2023-09-28,"8,971.98","8,891.08","9,008.21","8,891.02",0.91%
VLAV,2023-09-29,"8,950.78","8,971.98","9,051.40","8,933.51",-0.24%
VLAV,2023-10-13,"8,714.58","8,761.70","8,794.39","8,689.09",-0.54%
VLAV,2023-10-16,"8,852.91","8,714.58","8,867.45","8,714.58",1.59%
VLAV,2023-10-17,"8,928.62","8,852.91","8,983.75","8,800.77",0.86%
VLAV,2023-10-18,"8,761.50","8,928.62","8,928.62","8,756.31",-1.87%
VLAV,2023-10-19,"8,647.87","8,761.50","8,794.35","8,632.43",-1.30%
VLAV,2023-10-20,"8,549.07","8,647.87","8,648.11","8,546.50",-1.14%
VLAV,2023-10-23,"8,476.38","8,549.07","8,581.43","8,463.92",-0.85%
VLAV,2023-10-24,"8,539.69","8,476.38","8,590.70","8,476.38",0.75%
VLAV,2023-10-25,"8,410.42","8,539.69","8,539.69","8,404.92",-1.51%
VLAV,2023-10-26,"8,409.66","8,410.42","8,473.92","8,383.23",-0.01%
VLAV,2023-10-27,"8,310.43","8,409.66","8,428.17","8,297.29",-1.18%
VLAV,2023-10-30,"8,368.24","8,310.43","8,395.51","8,302.01",0.70%
VLAV,2023-10-31,"8,430.76","8,368.24","8,439.94","8,358.59",0.75%
VLAV,2023-11-13,"8,670.27","8,682.84","8,699.65","8,629.06",-0.14%
VLAV,2023-11-14,"9,022.31","8,670.27","9,031.97","8,670.27",4.06%
VLAV,2023-11-15,"9,079.07","9,022.31","9,170.40","9,022.31",0.63%
VLAV,2023-11-16,"8,986.61","9,079.07","9,079.07","8,956.74",-1.02%
VLAV,2023-11-17,"9,073.44","8,986.61","9,073.92","8,986.61",0.97%
VLAV,2023-11-20,"9,119.12","9,073.44","9,130.36","9,045.81",0.50%
VLAV,2023-11-21,"9,053.22","9,119.12","9,119.12","9,051.94",-0.72%
VLAV,2023-11-22,"9,099.47","9,053.22","9,128.65","9,053.22",0.51%
VLAV,2023-11-23,"9,099.32","9,099.47","9,100.14","9,099.30",0.00%
VLAV,2023-11-24,"9,145.03","9,099.32","9,155.11","9,095.88",0.50%
VLAV,2023-11-27,"9,115.28","9,145.03","9,145.03","9,076.03",-0.33%
VLAV,2023-11-28,"9,099.01","9,115.28","9,145.87","9,068.20",-0.18%
VLAV,2023-11-29,"9,144.48","9,099.01","9,231.20","9,099.01",0.50%
VLAV,2023-11-30,"9,179.46","9,144.48","9,183.14","9,123.84",0.38%
VLAV,2023-12-13,"9,721.36","9,464.95","9,722.23","9,427.00",2.71%
VLAV,2023-12-14,"9,935.08","9,721.36","9,972.08","9,721.36",2.20%
VLAV,2023-12-15,"9,851.45","9,935.08","9,942.95","9,822.86",-0.84%
VLAV,2023-12-18,"9,851.45","9,851.45","9,890.34","9,839.33",0.00%
VLAV,2023-12-19,"9,996.63","9,851.45","10,003.15","9,851.45",1.47%
VLAV,2023-12-20,"9,818.21","9,996.63","10,036.14","9,817.91",-1.78%
VLAV,2023-12-21,"9,972.07","9,818.21","9,972.07","9,818.21",1.57%
VLAV,2023-12-22,"10,009.70","9,972.07","10,054.39","9,972.07",0.38%
VLAV,2023-12-25,"10,009.70","10,009.70","10,009.70","10,009.70",0.00%
VLAV,2023-12-26,"10,088.43","10,009.70","10,112.70","10,009.70",0.79%
VLAV,2023-12-27,"10,099.26","10,088.43","10,125.15","10,075.86",0.11%
VLAV,2023-12-28,"10,095.87","10,099.26","10,119.82","10,076.38",-0.03%
VLAV,2023-12-29,"10,018.16","10,095.87","10,095.87","10,007.27",-0.77%
VLAV,2024-01-15,"9,763.64","9,762.14","9,763.83","9,761.71",0.02%
VLAV,2024-01-16,"9,672.07","9,763.64","9,763.64","9,643.63",-0.94%
VLAV,2024-01-17,"9,581.99","9,672.07","9,672.07","9,532.28",-0.93%
VLAV,2024-01-18,"9,649.45","9,582.22","9,650.45","9,555.98",0.70%
VLAV,2024-01-19,"9,729.61","9,649.45","9,732.87","9,615.33",0.83%
VLAV,2024-01-22,"9,849.64","9,729.61","9,871.55","9,729.61",1.23%
VLAV,2024-01-23,"9,848.00","9,849.64","9,921.94","9,817.03",-0.02%
VLAV,2024-01-24,"9,781.38","9,848.00","9,931.73","9,778.84",-0.68%
VLAV,2024-01-25,"9,870.74","9,781.38","9,888.91","9,781.38",0.91%
VLAV,2024-01-26,"9,886.24","9,870.74","9,934.23","9,870.74",0.16%
VLAV,2024-01-29,"9,987.24","9,886.24","9,987.91","9,854.93",1.02%
VLAV,2024-01-30,"9,944.30","9,987.24","9,987.24","9,921.98",-0.43%
VLAV,2024-01-31,"9,767.96","9,944.30","9,968.23","9,765.23",-1.77%
VLAV,2024-02-13,"9,813.71","10,100.05","10,100.05","9,753.23",-2.84%
VLAV,2024-02-14,"9,971.43","9,813.71","9,977.52","9,813.71",1.61%
VLAV,2024-02-15,"10,127.49","9,971.43","10,133.79","9,971.43",1.57%
VLAV,2024-02-16,"10,050.50","10,127.49","10,130.99","10,039.35",-0.76%
VLAV,2024-02-19,"10,050.50","10,050.50","10,050.50","10,050.50",0.00%
VLAV,2024-02-20,"9,974.96","10,050.50","10,050.50","9,953.54",-0.75%
VLAV,2024-02-21,"9,962.17","9,974.96","9,974.96","9,902.63",-0.13%
VLAV,2024-02-22,"10,033.99","9,962.17","10,051.53","9,962.17",0.72%
VLAV,2024-02-23,"10,058.60","10,033.99","10,092.87","10,018.05",0.25%
VLAV,2024-02-26,"10,053.28","10,053.28","10,053.28","10,053.28",-0.05%
VLAV,2024-02-27,"10,126.96","10,053.28","10,132.10","10,053.28",0.73%
VLAV,2024-02-28,"10,095.23","10,126.96","10,141.04","10,073.36",-0.31%
VLAV,2024-02-29,"10,155.16","10,095.23","10,200.81","10,095.23",0.59%
VLAV,2024-03-13,"10,281.66","10,264.71","10,324.00","10,264.71",0.17%
VLAV,2024-03-14,"10,143.75","10,281.66","10,281.66","10,086.80",-1.34%
VLAV,2024-03-15,"10,149.17","10,143.75","10,176.65","10,107.05",0.05%
VLAV,2024-03-18,"10,135.10","10,167.42","10,180.40","10,126.97",-0.14%
VLAV,2024-03-19,"10,193.01","10,135.10","10,199.59","10,111.35",0.57%
VLAV,2024-03-20,"10,334.33","10,193.01","10,356.52","10,174.74",1.39%
VLAV,2024-03-21,"10,416.67","10,334.33","10,444.27","10,334.33",0.80%
VLAV,2024-03-22,"10,328.63","10,416.67","10,423.34","10,327.36",-0.85%
VLAV,2024-03-25,"10,318.38","10,328.63","10,377.38","10,318.38",-0.10%
VLAV,2024-03-26,"10,308.95","10,318.38","10,375.78","10,308.95",-0.09%
